provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count,timestamp
AWS,m5d.12xlarge,m5d,m5d.12xlarge,48,192.0,us-east-1,,2.712,1.18546,,,"2025-02-13 23:27:34"
AWS,m7a.8xlarge,m7a,m7a.8xlarge,32,128.0,us-east-1,,1.85472,0.7155199999999999,,,"2025-02-13 23:27:34"
AWS,r7a.32xlarge,r7a,r7a.32xlarge,128,1024.0,us-east-1,,9.7376,2.19406,,,"2025-02-13 23:27:34"
AWS,r7a.8xlarge,r7a,r7a.8xlarge,32,256.0,us-east-1,,2.4344,0.64726,,,"2025-02-13 23:27:34"
AWS,c7a.large,c7a,c7a.large,2,4.0,us-east-1,,0.10264,0.04294,,,"2025-02-13 23:27:34"
AWS,m5a.12xlarge,m5a,m5a.12xlarge,48,192.0,us-east-1,,2.064,0.741,,,"2025-02-13 23:27:34"
AWS,m6in.xlarge,m6in,m6in.xlarge,4,16.0,us-east-1,,0.27846,0.12378,,,"2025-02-13 23:27:34"
AWS,r6idn.24xlarge,r6idn,r6idn.24xlarge,96,768.0,us-east-1,,9.37872,2.7262399999999998,,,"2025-02-13 23:27:34"
AWS,r7g.metal,r7g,r7g.metal,64,512.0,us-east-1,,3.4272,0.8476800000000001,,,"2025-02-13 23:27:34"
AWS,r5n.metal,r5n,r5n.metal,96,768.0,us-east-1,,7.152,1.13778,,,"2025-02-13 23:27:34"
AWS,r7a.16xlarge,r7a,r7a.16xlarge,64,512.0,us-east-1,,4.8688,1.24596,,,"2025-02-13 23:27:34"
AWS,m1.small,m1,m1.small,1,1.69921875,us-east-1,,0.044,0.0106,,,"2025-02-13 23:27:34"
AWS,c6in.xlarge,c6in,c6in.xlarge,4,8.0,us-east-1,,0.2268,0.09598,,,"2025-02-13 23:27:34"
AWS,t4g.large,t4g,t4g.large,2,8.0,us-east-1,,0.0672,0.01848,,,"2025-02-13 23:27:34"
AWS,r5a.xlarge,r5a,r5a.xlarge,4,32.0,us-east-1,,0.226,0.08358,,,"2025-02-13 23:27:34"
AWS,x8g.48xlarge,x8g,x8g.48xlarge,192,3072.0,us-east-1,,18.7584,9.109366666666668,,,"2025-02-13 23:27:34"
AWS,r5.2xlarge,r5,r5.2xlarge,8,64.0,us-east-1,,0.504,0.19893999999999998,,,"2025-02-13 23:27:34"
AWS,r6id.24xlarge,r6id,r6id.24xlarge,96,768.0,us-east-1,,7.2576,2.75544,,,"2025-02-13 23:27:34"
AWS,r5b.large,r5b,r5b.large,2,16.0,us-east-1,,0.149,0.04715,,,"2025-02-13 23:27:34"
AWS,m6idn.12xlarge,m6idn,m6idn.12xlarge,48,192.0,us-east-1,,3.81888,1.3525800000000001,,,"2025-02-13 23:27:34"
AWS,t2.2xlarge,t2,t2.2xlarge,8,32.0,us-east-1,,0.3712,0.09926666666666667,,,"2025-02-13 23:27:34"
AWS,c7i-flex.4xlarge,c7i-flex,c7i-flex.4xlarge,16,32.0,us-east-1,,0.6783,0.24242,,,"2025-02-13 23:27:34"
AWS,c6a.32xlarge,c6a,c6a.32xlarge,128,256.0,us-east-1,,4.896,1.33506,,,"2025-02-13 23:27:34"
AWS,m6i.xlarge,m6i,m6i.xlarge,4,16.0,us-east-1,,0.192,0.07171999999999999,,,"2025-02-13 23:27:34"
AWS,m6i.2xlarge,m6i,m6i.2xlarge,8,32.0,us-east-1,,0.384,0.14650000000000002,,,"2025-02-13 23:27:34"
AWS,m7a.16xlarge,m7a,m7a.16xlarge,64,256.0,us-east-1,,3.70944,1.37312,,,"2025-02-13 23:27:34"
AWS,m6idn.large,m6idn,m6idn.large,2,8.0,us-east-1,,0.15912,0.05796,,,"2025-02-13 23:27:34"
AWS,m6in.12xlarge,m6in,m6in.12xlarge,48,192.0,us-east-1,,3.34152,1.4937,,,"2025-02-13 23:27:34"
AWS,c5.xlarge,c5,c5.xlarge,4,8.0,us-east-1,,0.17,0.0752,,,"2025-02-13 23:27:34"
AWS,c8g.2xlarge,c8g,c8g.2xlarge,8,16.0,us-east-1,,0.31904,0.11173999999999999,,,"2025-02-13 23:27:34"
AWS,r8g.24xlarge,r8g,r8g.24xlarge,96,768.0,us-east-1,,5.65536,1.44712,,,"2025-02-13 23:27:34"
AWS,m5ad.12xlarge,m5ad,m5ad.12xlarge,48,192.0,us-east-1,,2.472,1.20706,,,"2025-02-13 23:27:34"
AWS,c4.2xlarge,c4,c4.2xlarge,8,15.0,us-east-1,,0.398,0.17173333333333332,,,"2025-02-13 23:27:34"
AWS,c7gd.4xlarge,c7gd,c7gd.4xlarge,16,32.0,us-east-1,,0.7258,0.25007999999999997,,,"2025-02-13 23:27:34"
AWS,p5.48xlarge,p5,p5.48xlarge,192,2048.0,us-east-1,,98.32,19.990883333333333,H100,8.0,"2025-02-13 23:27:34"
AWS,i8g.8xlarge,i8g,i8g.8xlarge,32,256.0,us-east-1,,2.7456,0.7305333333333334,,,"2025-02-13 23:27:34"
AWS,c5ad.12xlarge,c5ad,c5ad.12xlarge,48,96.0,us-east-1,,2.064,0.78496,,,"2025-02-13 23:27:34"
AWS,r7a.24xlarge,r7a,r7a.24xlarge,96,768.0,us-east-1,,7.3032,2.18532,,,"2025-02-13 23:27:34"
AWS,g3.16xlarge,g3,g3.16xlarge,64,488.0,us-east-1,,4.56,1.105925,,,"2025-02-13 23:27:34"
AWS,c6i.12xlarge,c6i,c6i.12xlarge,48,96.0,us-east-1,,2.04,0.63142,,,"2025-02-13 23:27:34"
AWS,u7in-32tb.224xlarge,u7in-32tb,u7in-32tb.224xlarge,896,32768.0,us-east-1,,407.68,,,,"2025-02-13 23:27:34"
AWS,c7gd.large,c7gd,c7gd.large,2,4.0,us-east-1,,0.0907,0.03726,,,"2025-02-13 23:27:34"
AWS,d3.8xlarge,d3,d3.8xlarge,32,256.0,us-east-1,,3.99552,1.36665,,,"2025-02-13 23:27:34"
AWS,i4g.xlarge,i4g,i4g.xlarge,4,32.0,us-east-1,,0.30888,0.10982,,,"2025-02-13 23:27:34"
AWS,t3a.nano,t3a,t3a.nano,2,0.5,us-east-1,,0.0047,0.0018800000000000002,,,"2025-02-13 23:27:34"
AWS,m6a.large,m6a,m6a.large,2,8.0,us-east-1,,0.0864,0.03256,,,"2025-02-13 23:27:34"
AWS,cr1.8xlarge,cr1,cr1.8xlarge,32,244.0,us-east-1,,3.5,,,,"2025-02-13 23:27:34"
AWS,m7gd.8xlarge,m7gd,m7gd.8xlarge,32,128.0,us-east-1,,1.7086,0.69326,,,"2025-02-13 23:27:34"
AWS,m6gd.metal,m6gd,m6gd.metal,64,256.0,us-east-1,,2.8928,0.40796,,,"2025-02-13 23:27:34"
AWS,u-6tb1.56xlarge,u-6tb1,u-6tb1.56xlarge,224,6144.0,us-east-1,,46.40391,,,,"2025-02-13 23:27:34"
AWS,g6e.4xlarge,g6e,g6e.4xlarge,16,128.0,us-east-1,,3.00424,1.2445,L40S,1.0,"2025-02-13 23:27:34"
AWS,d3.xlarge,d3,d3.xlarge,4,32.0,us-east-1,,0.499,0.1271,,,"2025-02-13 23:27:34"
AWS,z1d.large,z1d,z1d.large,2,16.0,us-east-1,,0.186,0.050960000000000005,,,"2025-02-13 23:27:34"
AWS,m4.4xlarge,m4,m4.4xlarge,16,64.0,us-east-1,,0.8,0.2934666666666667,,,"2025-02-13 23:27:34"
AWS,r6idn.2xlarge,r6idn,r6idn.2xlarge,8,64.0,us-east-1,,0.78156,0.43518,,,"2025-02-13 23:27:34"
AWS,m7gd.xlarge,m7gd,m7gd.xlarge,4,16.0,us-east-1,,0.2136,0.10246,,,"2025-02-13 23:27:34"
AWS,c8g.16xlarge,c8g,c8g.16xlarge,64,128.0,us-east-1,,2.55232,0.83452,,,"2025-02-13 23:27:34"
AWS,r5d.metal,r5d,r5d.metal,96,768.0,us-east-1,,6.912,1.91052,,,"2025-02-13 23:27:34"
AWS,i3.4xlarge,i3,i3.4xlarge,16,122.0,us-east-1,,1.248,0.55165,,,"2025-02-13 23:27:34"
AWS,a1.xlarge,a1,a1.xlarge,4,8.0,us-east-1,,0.102,0.102,,,"2025-02-13 23:27:34"
AWS,m8g.4xlarge,m8g,m8g.4xlarge,16,64.0,us-east-1,,0.71808,0.271925,,,"2025-02-13 23:27:34"
AWS,c7a.48xlarge,c7a,c7a.48xlarge,192,384.0,us-east-1,,9.85344,2.90382,,,"2025-02-13 23:27:34"
AWS,i4i.32xlarge,i4i,i4i.32xlarge,128,1024.0,us-east-1,,10.9824,3.5808799999999996,,,"2025-02-13 23:27:34"
AWS,m4.xlarge,m4,m4.xlarge,4,16.0,us-east-1,,0.2,0.08676666666666666,,,"2025-02-13 23:27:34"
AWS,m6idn.32xlarge,m6idn,m6idn.32xlarge,128,512.0,us-east-1,,10.18368,4.0756,,,"2025-02-13 23:27:34"
AWS,c6gn.12xlarge,c6gn,c6gn.12xlarge,48,96.0,us-east-1,,2.0736,0.47728000000000004,,,"2025-02-13 23:27:34"
AWS,g2.2xlarge,g2,g2.2xlarge,8,15.0,us-east-1,,0.65,,,,"2025-02-13 23:27:34"
AWS,c5a.large,c5a,c5a.large,2,4.0,us-east-1,,0.077,0.02754,,,"2025-02-13 23:27:34"
AWS,m5n.2xlarge,m5n,m5n.2xlarge,8,32.0,us-east-1,,0.476,0.37751999999999997,,,"2025-02-13 23:27:34"
AWS,g4ad.16xlarge,g4ad,g4ad.16xlarge,64,256.0,us-east-1,,3.468,1.5008,"Radeon Pro V520",4.0,"2025-02-13 23:27:34"
AWS,c4.large,c4,c4.large,2,3.75,us-east-1,,0.1,0.038933333333333334,,,"2025-02-13 23:27:34"
AWS,g5g.xlarge,g5g,g5g.xlarge,4,8.0,us-east-1,,0.42,0.1174,T4g,1.0,"2025-02-13 23:27:34"
AWS,i7ie.12xlarge,i7ie,i7ie.12xlarge,48,384.0,us-east-1,,6.2376,2.6439399999999997,,,"2025-02-13 23:27:34"
AWS,c5.9xlarge,c5,c5.9xlarge,36,72.0,us-east-1,,1.53,0.57416,,,"2025-02-13 23:27:34"
AWS,r5d.24xlarge,r5d,r5d.24xlarge,96,768.0,us-east-1,,6.912,2.20804,,,"2025-02-13 23:27:34"
AWS,r6id.8xlarge,r6id,r6id.8xlarge,32,256.0,us-east-1,,2.4192,0.92018,,,"2025-02-13 23:27:34"
AWS,g5.4xlarge,g5,g5.4xlarge,16,64.0,us-east-1,,1.624,0.65286,A10G,1.0,"2025-02-13 23:27:34"
AWS,c4.xlarge,c4,c4.xlarge,4,7.5,us-east-1,,0.199,0.07113333333333334,,,"2025-02-13 23:27:34"
