provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
Azure,Standard_DC8as_v5,DC8as,Standard_DC8as_v5,8,32.0,eastus,,0.0688,,,0.0
Azure,Standard_E112iads_v5,E112iads,Standard_E112iads_v5,112,672.0,eastus,,1.614,,,0.0
Azure,Standard_M32ts,M32ts,Standard_M32ts,32,192.0,eastus,,,0.37898,,0.0
Azure,Standard_E48a_v4,E48a,Standard_E48a_v4,48,384.0,eastus,,,0.42336,,0.0
Azure,Standard_E8_v5,E8,Standard_E8_v5,8,64.0,eastus,,0.101,,,0.0
Azure,Standard_E8-4as_v5,E8-4as,Standard_E8-4as_v5,8,64.0,eastus,,0.0904,,,0.0
Azure,Standard_M8ms,M8ms,Standard_M8ms,8,218.75,eastus,,1.5365,,,0.0
Azure,Standard_E32-8s_v4,E32-8s,Standard_E32-8s_v4,32,256.0,eastus,,,0.325987,,0.0
Azure,Standard_D48d_v4,D48d,Standard_D48d_v4,48,192.0,eastus,,0.542,,,0.0
Azure,Standard_EC96as_v5,EC96as,Standard_EC96as_v5,96,672.0,eastus,,,4.8816,,0.0
Azure,Standard_D64pls_v5,D64pls,Standard_D64pls_v5,64,128.0,eastus,,,0.30464,,0.0
Azure,Standard_M48ds_1_v3,M48ds,Standard_M48ds_1_v3,48,974.0,eastus,,,1.0592,,0.0
Azure,Standard_NV4ads_V710_v5,NV4ads,Standard_NV4ads_V710_v5,4,16.0,eastus,,0.0933,,,0.0
Azure,Standard_D2a_v4,D2a,Standard_D2a_v4,2,8.0,eastus,,0.0192,,,0.0
Azure,Standard_M128ms_v2,M128ms,Standard_M128ms_v2,128,3892.0,eastus,,26.269,,,0.0
Azure,Standard_M12ds_v3,M12ds,Standard_M12ds_v3,12,240.0,eastus,,,0.2608,,0.0
Azure,Standard_DC32ds_v3,DC32ds,Standard_DC32ds_v3,32,256.0,eastus,,3.616,,,0.0
Azure,Standard_EC48ads_cc_v5,EC48ads,Standard_EC48ads_cc_v5,48,384.0,eastus,,3.144,,,0.0
Azure,Standard_L48s_v3,L48s,Standard_L48s_v3,48,384.0,eastus,,4.176,,,0.0
Azure,Standard_E2ps_v6,E2ps,Standard_E2ps_v6,2,16.0,eastus,,,0.012908,,0.0
Azure,Standard_HX176-144rs,HX176-144rs,Standard_HX176-144rs,176,1408.0,eastus,,1.728,,,0.0
Azure,Standard_D48pls_v6,D48pls,Standard_D48pls_v6,48,96.0,eastus,,,0.20832,,0.0
Azure,Standard_M96ds_2_v3,M96ds,Standard_M96ds_2_v3,96,1946.0,eastus,,2.646,,,0.0
Azure,Standard_M176bds_v3,M176bds,Standard_M176bds_v3,176,1536.0,eastus,,16.11,,,0.0
Azure,Standard_NP20s,NP20s,Standard_NP20s,20,336.0,eastus,,,0.462,Unknown,2.0
Azure,Standard_D8s_v4,D8s,Standard_D8s_v4,8,32.0,eastus,,0.384,,,0.0
Azure,Standard_DC96as_v5,DC96as,Standard_DC96as_v5,96,384.0,eastus,,4.128,,,0.0
Azure,Standard_NC48ads_A100_v4,NC48ads,Standard_NC48ads_A100_v4,48,440.0,eastus,,1.469,,A100-80GB,2.0
Azure,Standard_E32pds_v6,E32pds,Standard_E32pds_v6,32,256.0,eastus,,1.872,,,0.0
Azure,Standard_E96-24ds_v5,E96-24ds,Standard_E96-24ds_v5,96,672.0,eastus,,6.912,,,0.0
Azure,Standard_E80ids_v4,E80ids,Standard_E80ids_v4,80,504.0,eastus,,5.76,,,0.0
Azure,Standard_E4s_v5,E4s,Standard_E4s_v5,4,32.0,eastus,,,0.040748,,0.0
Azure,Standard_E48bs_v5,E48bs,Standard_E48bs_v5,48,384.0,eastus,,0.715,,,0.0
Azure,Standard_E96ps_v6,E96ps,Standard_E96ps_v6,96,672.0,eastus,,,0.8852,,0.0
Azure,Standard_L48s_v2,L48s,Standard_L48s_v2,48,384.0,eastus,,3.744,,,0.0
Azure,Standard_DC4as_cc_v5,DC4as,Standard_DC4as_cc_v5,4,16.0,eastus,,0.172,,,0.0
Azure,Standard_DS13-2_v2,DS13-2,Standard_DS13-2_v2,8,56.0,eastus,,0.148,,,0.0
