provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
GCP,a2-highgpu-1g,a2,a2-highgpu-1g,12.0,85.0,us-central1,us-central1-c,0.406682,0.295755,,
GCP,a2-highgpu-2g,a2,a2-highgpu-2g,24.0,170.0,us-central1,us-central1-c,0.813364,0.59151,,
GCP,a2-highgpu-4g,a2,a2-highgpu-4g,48.0,340.0,us-central1,us-central1-c,1.626728,1.18302,,
GCP,a2-highgpu-8g,a2,a2-highgpu-8g,96.0,680.0,us-central1,us-central1-c,3.253456,2.36604,,
GCP,a2-megagpu-16g,a2,a2-megagpu-16g,96.0,1360.0,us-central1,us-central1-c,4.837856,3.5186399999999995,,
GCP,a2-ultragpu-1g,a2,a2-ultragpu-1g,12.0,170.0,us-central1,us-central1-c,0.604732,0.43982999999999994,,
GCP,a2-ultragpu-2g,a2,a2-ultragpu-2g,24.0,340.0,us-central1,us-central1-c,1.209464,0.8796599999999999,,
GCP,a2-ultragpu-4g,a2,a2-ultragpu-4g,48.0,680.0,us-central1,us-central1-c,2.418928,1.7593199999999998,,
GCP,a2-ultragpu-8g,a2,a2-ultragpu-8g,96.0,1360.0,us-central1,us-central1-c,4.837856,3.5186399999999995,,
GCP,a3-edgegpu-8g,a3,a3-edgegpu-8g,208.0,1872.0,us-central1,us-central1-c,7.24257976,3.7839359999999997,,
GCP,a3-edgegpu-8g-nolssd,a3,a3-edgegpu-8g-nolssd,208.0,1872.0,us-central1,us-central1-c,7.24257976,3.7839359999999997,,
GCP,a3-highgpu-1g,a3,a3-highgpu-1g,26.0,234.0,us-central1,us-central1-c,0.90532247,0.47299199999999997,,
GCP,a3-highgpu-2g,a3,a3-highgpu-2g,52.0,468.0,us-central1,us-central1-c,1.81064494,0.9459839999999999,,
GCP,a3-highgpu-4g,a3,a3-highgpu-4g,104.0,936.0,us-central1,us-central1-c,3.62128988,1.8919679999999999,,
GCP,a3-highgpu-8g,a3,a3-highgpu-8g,208.0,1872.0,us-central1,us-central1-c,7.24257976,3.7839359999999997,,
GCP,a3-megagpu-8g,a3,a3-megagpu-8g,208.0,1872.0,us-central1,us-central1-c,7.24257976,3.7839359999999997,,
GCP,c2-standard-16,c2,c2-standard-16,16.0,64.0,us-central1,us-central1-c,0.7263839999999999,0.199104,,
GCP,c2-standard-30,c2,c2-standard-30,30.0,120.0,us-central1,us-central1-c,1.36197,0.37332,,
GCP,c2-standard-4,c2,c2-standard-4,4.0,16.0,us-central1,us-central1-c,0.18159599999999998,0.049776,,
GCP,c2-standard-60,c2,c2-standard-60,60.0,240.0,us-central1,us-central1-c,2.72394,0.74664,,
GCP,c2-standard-8,c2,c2-standard-8,8.0,32.0,us-central1,us-central1-c,0.36319199999999996,0.099552,,
GCP,c2d-highcpu-112,c2d,c2d-highcpu-112,112.0,224.0,us-central1,us-central1-c,4.197871999999999,1.150464,,
GCP,c2d-highcpu-16,c2d,c2d-highcpu-16,16.0,32.0,us-central1,us-central1-c,0.599696,0.164352,,
GCP,c2d-highcpu-2,c2d,c2d-highcpu-2,2.0,4.0,us-central1,us-central1-c,0.074962,0.020544,,
GCP,c2d-highcpu-32,c2d,c2d-highcpu-32,32.0,64.0,us-central1,us-central1-c,1.199392,0.328704,,
GCP,c2d-highcpu-4,c2d,c2d-highcpu-4,4.0,8.0,us-central1,us-central1-c,0.149924,0.041088,,
GCP,c2d-highcpu-56,c2d,c2d-highcpu-56,56.0,112.0,us-central1,us-central1-c,2.0989359999999997,0.575232,,
GCP,c2d-highcpu-8,c2d,c2d-highcpu-8,8.0,16.0,us-central1,us-central1-c,0.299848,0.082176,,
GCP,c2d-highmem-112,c2d,c2d-highmem-112,112.0,896.0,us-central1,us-central1-c,6.858319999999999,1.880256,,
GCP,c2d-highmem-16,c2d,c2d-highmem-16,16.0,128.0,us-central1,us-central1-c,0.97976,0.26860799999999996,,
